29,142,43,48,6,1,0,27,3,3,4,2,1,2,3,2,0,464
29,142,43,48,6,1,0,27,3,3,4,2,1,2,4,2,0,464
29,142,43,48,6,1,0,27,3,3,4,2,8,16,2,7,2,464
18,84,18,22,3,1,0,13,1,4,3,2,1,2,1,1,0,679
18,84,18,22,3,1,0,13,1,4,3,2,4,13,1,8,0,679
18,84,18,22,3,1,0,13,1,4,3,2,16,18,1,11,0,679
19,89,21,31,1,3,1,18,1,0,2,1,16,111,4,16,2,368
19,89,21,31,1,3,1,18,1,0,2,1,4,11,1,2,0,368
32,162,45,45,9,4,0,29,8,0,4,0,1,2,2,1,0,500
32,162,45,45,9,4,0,29,8,0,4,0,31,46,159,38,7,500
16,63,11,17,1,3,0,3,0,0,5,1,1,9,0,0,0,160
16,63,11,17,1,3,0,3,0,0,5,1,16,29,65,28,4,160
26,120,25,37,3,2,0,21,1,1,3,1,26,34,3,6,2,500
19,88,8,18,1,0,0,12,0,0,4,2,8,10,5,14,0,368
19,88,8,18,1,0,0,12,0,0,4,2,2,4,0,4,0,368
19,88,8,18,1,0,0,12,0,0,4,2,14,27,29,17,1,368
31,151,38,43,9,2,2,32,6,2,3,1,30,343,3,36,21,667
31,151,38,43,9,2,2,32,6,2,3,1,1,2,0,1,0,667
32,136,31,40,3,3,2,17,2,1,8,0,32,92,3,9,0,500
5,25,7,5,0,0,0,2,1,1,2,0,5,8,11,21,0,368
25,113,25,28,4,0,0,12,6,2,1,7,7,5,6,13,0,160
25,113,25,28,4,0,0,12,6,2,1,7,19,29,5,13,1,160
25,113,25,28,4,0,0,12,6,2,1,7,2,2,8,4,1,160
25,118,27,30,6,4,0,20,11,2,2,4,1,4,0,1,0,160
25,118,27,30,6,4,0,20,11,2,2,4,2,4,5,1,0,160
25,118,27,30,6,4,0,20,11,2,2,4,23,77,18,16,3,160
25,118,27,30,6,4,0,20,11,2,2,4,2,1,0,0,0,160
33,168,41,43,3,2,0,22,10,3,4,0,7,22,16,6,2,485
33,168,41,43,3,2,0,22,10,3,4,0,2,4,4,5,0,485
33,168,41,43,3,2,0,22,10,3,4,0,24,79,2,14,0,485
17,75,18,23,4,2,0,13,1,0,2,0,1,6,0,0,0,750
17,75,18,23,4,2,0,13,1,0,2,0,16,22,3,8,0,750
21,94,21,34,3,1,0,9,3,2,2,0,12,29,30,20,3,485
