"","actual","prediction","addValue"
"1",0.4596,0.497965812224136,-0.00203418777586417
"2",0.4596,0.516384799210262,0.016384799210262
"3",0.4596,0.497832892506965,-0.002167107493035
"4",0.4596,0.49796581153497,-0.0020341884650304
"5",0.4596,0.499543504734371,-0.000456495265628909
"6",0.4596,0.497902969563245,-0.00209703043675508
"7",0.4596,0.497948647227782,-0.00205135277221796
"8",0.4596,0.497965811533177,-0.00203418846682274
"9",0.4596,0.497626938665603,-0.00237306133439746
"10",0.4596,0.49796581222413,-0.00203418777587022
"11",0.4596,0.497960334709014,-0.0020396652909862
"12",0.4596,0.497965812224136,-0.00203418777586417
"13",0.4596,0.498149313576595,-0.00185068642340458
"14",0.4596,0.497965812126812,-0.00203418787318793
"15",0.4596,0.497934711905634,-0.00206528809436607
"16",0.4596,0.512493731632643,0.0124937316326432
"17",0.4596,0.497965779181716,-0.00203422081828375
"18",0.4596,0.509976561318278,0.00997656131827795
"19",0.4596,0.49824277548918,-0.00175722451081989
"20",0.4596,0.497965171838593,-0.00203482816140743
"21",0.4596,0.496158007593292,-0.00384199240670824
"22",0.4596,0.497965812196766,-0.0020341878032345
"23",0.4596,0.497961874016625,-0.00203812598337516
"24",0.4596,0.497965750955377,-0.0020342490446229
"25",0.4596,0.497965811656503,-0.00203418834349661
"26",0.4596,0.497965812223997,-0.00203418777600328
"27",0.4596,0.497965785539185,-0.00203421446081525
"28",0.4596,0.497134224941873,-0.00286577505812691
"29",0.4596,0.497965394989376,-0.00203460501062425
"30",0.4596,0.497964928251654,-0.0020350717483465
"31",0.4596,0.497965812224136,-0.00203418777586417
"32",0.4596,0.500995270497836,0.000995270497835654
"33",0.4596,0.49740806427869,-0.00259193572130995
"34",0.4596,0.497964416790339,-0.00203558320966096
"35",0.4596,0.486710007102284,-0.0132899928977157
"36",0.4596,0.497965812224136,-0.00203418777586417
"37",0.4596,0.494131414225036,-0.00586858577496446
"38",0.4596,0.497965812224136,-0.00203418777586417
"39",0.4596,0.496184504379283,-0.00381549562071659
"40",0.4596,0.493843691072222,-0.00615630892777802
"41",0.4596,0.493723738753504,-0.00627626124649611
"42",0.4596,0.488238265718225,-0.0117617342817747
"43",0.4596,0.495926252494275,-0.00407374750572487
"44",0.4596,0.493708620845346,-0.00629137915465394
"45",0.4596,0.493873834132107,-0.00612616586789294
"46",0.4596,0.494053293728809,-0.00594670627119098
"47",0.4596,0.493708623822374,-0.00629137617762565
"48",0.4596,0.499703491586756,-0.000296508413244079
"49",0.4596,0.497965812224136,-0.00203418777586417
"50",0.4596,0.49392683336297,-0.00607316663703017
"51",0.4596,0.493643258602362,-0.00635674139763798
"52",0.4596,0.49370862851028,-0.00629137148972025
"53",0.4596,0.479506691750995,-0.0204933082490051
"54",0.4596,0.497965812224136,-0.00203418777586417
"55",0.4596,0.493993953523655,-0.00600604647634467
"56",0.4596,0.485048689353833,-0.0149513106461674
"57",0.4596,0.497965812224136,-0.00203418777586417
"58",0.4596,0.497965812216921,-0.00203418778307851
"59",0.4596,0.485127236058491,-0.0148727639415089
"60",0.4596,0.497965812224136,-0.00203418777586417
"61",0.4596,0.497960087483527,-0.00203991251647345
"62",0.4596,0.494230518217362,-0.00576948178263814
"63",0.4596,0.494165324174188,-0.00583467582581187
"64",0.4596,0.494159437257528,-0.00584056274247219
"65",0.4596,0.496082074716317,-0.00391792528368318
"66",0.4596,0.497965812224136,-0.00203418777586417
"67",0.4596,0.497965766152962,-0.00203423384703777
"68",0.4596,0.49796579577738,-0.00203420422261974
"69",0.4596,0.497965812224136,-0.00203418777586417
"70",0.4596,0.47792530971641,-0.0220746902835901
"71",0.4596,0.497965812224136,-0.00203418777586417
"72",0.4596,0.49845787900652,-0.00154212099348006
"73",0.4596,0.497965812224136,-0.00203418777586417
"74",0.4596,0.49060772940396,-0.00939227059604014
"75",0.4596,0.493724223626981,-0.00627577637301879
"76",34.47,37.2366990785971,-0.26330092140289
