"","actual","prediction","addValue"
"1",0.5031,0.497965809874371,-0.00203419012562894
"2",0.5031,0.497965812224136,-0.00203418777586417
"3",0.5031,0.497942031582685,-0.00205796841731498
"4",0.5031,0.497433703421132,-0.00256629657886764
"5",0.5031,0.497965752287205,-0.00203424771279465
"6",0.5031,0.497965811611113,-0.00203418838888708
"7",0.5031,0.497965811433205,-0.0020341885667951
"8",0.5031,0.514130748774702,0.0141307487747019
"9",0.5031,0.497965811887868,-0.00203418811213241
"10",0.5031,0.497152689028189,-0.00284731097181079
"11",0.5031,0.497965812210418,-0.00203418778958159
"12",0.5031,0.498433923649594,-0.00156607635040601
"13",0.5031,0.497965811871918,-0.00203418812808231
"14",0.5031,0.514130748774702,0.0141307487747019
"15",0.5031,0.497965812038493,-0.00203418796150678
"16",0.5031,0.497011893548566,-0.00298810645143388
"17",0.5031,0.497965812224136,-0.00203418777586417
"18",0.5031,0.51902649013287,0.0190264901328697
"19",0.5031,0.49416463036659,-0.00583536963340986
"20",0.5031,0.494188159704521,-0.00581184029547893
"21",0.5031,0.497965812224085,-0.00203418777591474
"22",0.5031,0.497965569410893,-0.00203443058910713
"23",0.5031,0.497965810417233,-0.00203418958276741
"24",0.5031,0.497965812224136,-0.00203418777586417
"25",0.5031,0.49681853601924,-0.00318146398075969
"26",0.5031,0.497793620853831,-0.00220637914616928
"27",0.5031,0.497673714864825,-0.00232628513517535
"28",0.5031,0.497965812223191,-0.0020341877768088
"29",0.5031,0.497965812224136,-0.00203418777586417
"30",0.5031,0.51044327157037,0.0104432715703702
"31",0.5031,0.493609736129984,-0.00639026387001568
"32",0.5031,0.497965812224128,-0.00203418777587222
"33",0.5031,0.493989700911112,-0.00601029908888751
"34",0.5031,0.465748887864041,-0.0342511121359593
"35",0.5031,0.49370942899111,-0.00629057100888991
"36",0.5031,0.493708622161004,-0.00629137783899614
"37",0.5031,0.493880753022641,-0.00611924697735866
"38",0.5031,0.493708684942912,-0.00629131505708841
"39",0.5031,0.497965812224136,-0.00203418777586417
"40",0.5031,0.493715836249837,-0.00628416375016311
"41",0.5031,0.493708631848353,-0.00629136815164677
"42",0.5031,0.497965812224136,-0.00203418777586417
"43",0.5031,0.515607180579744,0.015607180579744
"44",0.5031,0.493647583345249,-0.00635241665475089
"45",0.5031,0.498793451287868,-0.00120654871213183
"46",0.5031,0.497965745770403,-0.0020342542295968
"47",0.5031,0.49780932918657,-0.00219067081343022
"48",0.5031,0.493978741040902,-0.00602125895909766
"49",0.5031,0.515214555015002,0.0152145550150019
"50",0.5031,0.493708650920551,-0.00629134907944939
"51",0.5031,0.497965812224136,-0.00203418777586417
"52",0.5031,0.493705851397751,-0.00629414860224925
"53",0.5031,0.493865029571894,-0.00613497042810607
"54",0.5031,0.497965812224136,-0.00203418777586417
"55",0.5031,0.497965683312772,-0.00203431668722831
"56",0.5031,0.493966665173811,-0.00603333482618923
"57",0.5031,0.493914412754057,-0.00608558724594255
"58",0.5031,0.497965812217175,-0.00203418778282527
"59",0.5031,0.49787638948634,-0.00212361051366045
"60",0.5031,0.497965812224136,-0.00203418777586417
"61",0.5031,0.497866464045922,-0.00213353595407778
"62",0.5031,0.497965812224136,-0.00203418777586417
"63",0.5031,0.497965642829318,-0.00203435717068218
"64",0.5031,0.487526622540516,-0.0124733774594843
"65",0.5031,0.493956313316068,-0.00604368668393174
"66",0.5031,0.527645431712788,0.027645431712788
"67",0.5031,0.497965812224136,-0.00203418777586417
"68",0.5031,0.493708622536812,-0.00629137746318847
"69",0.5031,0.497941930886663,-0.00205806911333722
"70",0.5031,0.49647220436297,-0.00352779563703032
"71",0.5031,0.497869700866478,-0.00213029913352236
"72",0.5031,0.493800222270504,-0.00619977772949581
"73",0.5031,0.497965759293142,-0.00203424070685776
"74",0.5031,0.493709290214067,-0.00629070978593288
"75",0.5031,0.49790478548101,-0.00209521451899042
"76",0.5031,0.493146837128304,-0.00685316287169613
"77",38.2356,37.8367685371371,-0.163231462862925
