"","actual","prediction","addValue"
"1",0.4815,0.496736592361319,-0.00326340763868094
"2",0.4815,0.497965812023203,-0.00203418797679672
"3",0.4815,0.497965812224091,-0.00203418777590902
"4",0.4815,0.497959676621,-0.00204032337900018
"5",0.4815,0.498438184969901,-0.00156181503009867
"6",0.4815,0.49549040913648,-0.00450959086351987
"7",0.4815,0.497965702485158,-0.00203429751484152
"8",0.4815,0.498503191750799,-0.00149680824920101
"9",0.4815,0.512493731632643,0.0124937316326432
"10",0.4815,0.497964250972015,-0.00203574902798459
"11",0.4815,0.512493731632643,0.0124937316326432
"12",0.4815,0.497965731753917,-0.00203426824608255
"13",0.4815,0.497965812224136,-0.00203418777586417
"14",0.4815,0.497965812203399,-0.00203418779660114
"15",0.4815,0.497965803224361,-0.00203419677563921
"16",0.4815,0.497962424502744,-0.00203757549725603
"17",0.4815,0.49795472532336,-0.00204527467664029
"18",0.4815,0.503695014444569,0.00369501444456899
"19",0.4815,0.497965812028436,-0.00203418797156402
"20",0.4815,0.497864862718184,-0.00213513728181564
"21",0.4815,0.497965812224124,-0.00203418777587572
"22",0.4815,0.497965812224136,-0.00203418777586417
"23",0.4815,0.497782399443277,-0.00221760055672299
"24",0.4815,0.49796580754717,-0.00203419245283049
"25",0.4815,0.497962793674737,-0.00203720632526255
"26",0.4815,0.497965394059286,-0.00203460594071359
"27",0.4815,0.497965812224136,-0.00203418777586428
"28",0.4815,0.497965812224136,-0.00203418777586417
"29",0.4815,0.497965812223981,-0.00203418777601877
"30",0.4815,0.497592324046584,-0.00240767595341645
"31",0.4815,0.497959539746905,-0.00204046025309546
"32",0.4815,0.497965812034394,-0.00203418796560578
"33",0.4815,0.497962465434349,-0.0020375345656512
"34",0.4815,0.497965812224136,-0.00203418777586417
"35",0.4815,0.494350153251663,-0.00564984674833735
"36",0.4815,0.493714132502599,-0.00628586749740123
"37",0.4815,0.493708623191176,-0.00629137680882441
"38",0.4815,0.497965812224136,-0.00203418777586417
"39",0.4815,0.493708620791108,-0.00629137920889189
"40",0.4815,0.493712890624422,-0.00628710937557797
"41",0.4815,0.493717170769807,-0.00628282923019341
"42",0.4815,0.493708621252624,-0.00629137874737556
"43",0.4815,0.49796581186436,-0.0020341881356401
"44",0.4815,0.497965792662952,-0.00203420733704845
"45",0.4815,0.512769826772207,0.0127698267722072
"46",0.4815,0.49449405563044,-0.00550594436956048
"47",0.4815,0.497965812224136,-0.00203418777586417
"48",0.4815,0.497965503108083,-0.00203449689191659
"49",0.4815,0.498168766639892,-0.0018312333601081
"50",0.4815,0.514856641632358,0.014856641632358
"51",0.4815,0.493826899957889,-0.00617310004211102
"52",0.4815,0.496176734786521,-0.00382326521347903
"53",0.4815,0.495716127833593,-0.00428387216640702
"54",0.4815,0.494614786801955,-0.00538521319804525
"55",0.4815,0.493904092353296,-0.00609590764670387
"56",0.4815,0.493724029148931,-0.00627597085106907
"57",0.4815,0.497965812224136,-0.00203418777586417
"58",0.4815,0.493709299792025,-0.00629070020797501
"59",0.4815,0.518205467916579,0.0182054679165792
"60",0.4815,0.497965812224136,-0.00203418777586417
"61",0.4815,0.493708620770526,-0.00629137922947376
"62",0.4815,0.49420333897867,-0.00579666102133009
"63",0.4815,0.497965812224136,-0.00203418777586417
"64",0.4815,0.497965812224136,-0.00203418777586417
"65",0.4815,0.497965812224136,-0.00203418777586417
"66",0.4815,0.485175140201033,-0.0148248597989666
"67",0.4815,0.49700859340804,-0.00299140659195968
"68",0.4815,0.497965812223028,-0.0020341877769719
"69",0.4815,0.493890105388632,-0.00610989461136796
"70",0.4815,0.493819097541329,-0.00618090245867098
"71",0.4815,0.493708621269769,-0.0062913787302305
"72",0.4815,0.497783887158548,-0.00221611284145246
"73",0.4815,0.497952422323901,-0.0020475776760992
"74",0.4815,0.497965811583588,-0.00203418841641195
"75",0.4815,0.519387085749857,0.0193870857498569
"76",0.4815,0.497965812224136,-0.00203418777586417
"77",0.4815,0.49571599622812,-0.00428400377188026
"78",0.4815,0.497965667406506,-0.00203433259349395
"79",0.4815,0.497965762936041,-0.00203423706395861
"80",38.0385,39.3508610138089,-0.149138986191136
