Team,actual,predicted
BAL,0.5,-0.12
BOS,0.4815,-0.1491389862
CHA,0.5031,-0.1632314629
CLE,0.5031,-0.1632314629
DET,0.4596,-0.2633009214
KCA,0.5864,-0.0849924069
MIN,0.5123,-0.1675882902
NYA,0.537,-0.0928739161
TBA,0.4938,-0.3428238345
TOR,0.5741,0.047389638
