"","actual","prediction","addValue"
"1",0.5741,0.512493731632643,0.0124937316326432
"2",0.5741,0.517513880491409,0.0175138804914086
"3",0.5741,0.497929078308804,-0.00207092169119588
"4",0.5741,0.497965811845608,-0.00203418815439249
"5",0.5741,0.497934159939761,-0.0020658400602393
"6",0.5741,0.500824142957823,0.000824142957823182
"7",0.5741,0.497965812224136,-0.00203418777586417
"8",0.5741,0.497964702420895,-0.00203529757910526
"9",0.5741,0.515848992717505,0.015848992717505
"10",0.5741,0.493946795770814,-0.00605320422918609
"11",0.5741,0.497965811862918,-0.00203418813708162
"12",0.5741,0.497965812100551,-0.00203418789944865
"13",0.5741,0.497269365532214,-0.00273063446778554
"14",0.5741,0.497937730962416,-0.00206226903758355
"15",0.5741,0.497965812116705,-0.00203418788329546
"16",0.5741,0.497948535888229,-0.00205146411177126
"17",0.5741,0.497965803955123,-0.00203419604487654
"18",0.5741,0.497964469257635,-0.00203553074236534
"19",0.5741,0.497965812224136,-0.00203418777586417
"20",0.5741,0.497965811457841,-0.00203418854215898
"21",0.5741,0.496819275773432,-0.00318072422656823
"22",0.5741,0.514130748774702,0.0141307487747019
"23",0.5741,0.497965812224136,-0.00203418777586417
"24",0.5741,0.497965812219507,-0.0020341877804933
"25",0.5741,0.497965751460079,-0.00203424853992062
"26",0.5741,0.497524826392564,-0.00247517360743621
"27",0.5741,0.497633333983475,-0.00236666601652513
"28",0.5741,0.497965812224136,-0.00203418777586417
"29",0.5741,0.497965754204504,-0.00203424579549633
"30",0.5741,0.497768496770043,-0.00223150322995669
"31",0.5741,0.512493731632643,0.0124937316326432
"32",0.5741,0.497964961385049,-0.00203503861495141
"33",0.5741,0.497134224941873,-0.00286577505812691
"34",0.5741,0.497965812223466,-0.00203418777653391
"35",0.5741,0.497965811820441,-0.00203418817955903
"36",0.5741,0.507525493696962,0.00752549369696198
"37",0.5741,0.49796581205746,-0.00203418794253957
"38",0.5741,0.497965812224136,-0.00203418777586417
"39",0.5741,0.497959687187149,-0.00204031281285066
"40",0.5741,0.5043850611745,0.00438506117450022
"41",0.5741,0.49381370470342,-0.00618629529657955
"42",0.5741,0.49934616690177,-0.00065383309822975
"43",0.5741,0.497736056874589,-0.00226394312541134
"44",0.5741,0.497965812224136,-0.00203418777586417
"45",0.5741,0.493731797653307,-0.00626820234669295
"46",0.5741,0.49796280075272,-0.00203719924727969
"47",0.5741,0.497965812216906,-0.00203418778309383
"48",0.5741,0.497961799824793,-0.00203820017520695
"49",0.5741,0.493717197172389,-0.00628280282761096
"50",0.5741,0.501295015100994,0.00129501510099439
"51",0.5741,0.497922859105012,-0.00207714089498839
"52",0.5741,0.539558350209536,0.0395583502095359
"53",0.5741,0.497965812224135,-0.0020341877758645
"54",0.5741,0.493899720643308,-0.00610027935669194
"55",0.5741,0.546168047630297,0.046168047630297
"56",0.5741,0.497965812224136,-0.00203418777586417
"57",0.5741,0.493713285774209,-0.00628671422579069
"58",0.5741,0.52533615885367,0.0253361588536704
"59",0.5741,0.496675467799877,-0.0033245322001233
"60",0.5741,0.504567153488552,0.00456715348855197
"61",0.5741,0.493929460757143,-0.00607053924285655
"62",0.5741,0.493713632757081,-0.00628636724291909
"63",0.5741,0.497965812112328,-0.00203418788767235
"64",0.5741,0.560240454662743,0.0602404546627426
"65",0.5741,0.49886460837138,-0.00113539162861953
"66",0.5741,0.497965806043375,-0.00203419395662485
"67",0.5741,0.497959661346375,-0.0020403386536248
"68",0.5741,0.493751359043599,-0.00624864095640093
"69",0.5741,0.497965812224136,-0.00203418777586417
"70",0.5741,0.497965811043204,-0.00203418895679558
"71",0.5741,0.496323511471154,-0.00367648852884639
"72",0.5741,0.497965812224136,-0.00203418777586417
"73",0.5741,0.497965811428796,-0.0020341885712038
"74",0.5741,0.497965812224136,-0.00203418777586417
"75",0.5741,0.497965812224136,-0.00203418777586417
"76",0.5741,0.49795644828629,-0.00204355171371001
"77",0.5741,0.49766523669063,-0.00233476330937016
"78",0.5741,0.493708664839598,-0.00629133516040176
"79",0.5741,0.493762248879311,-0.00623775112068903
"80",0.5741,0.494075755792982,-0.00592424420701843
"81",0.5741,0.497965812224136,-0.00203418777586417
"82",0.5741,0.497949561128417,-0.00205043887158274
"83",0.5741,0.497965812224136,-0.00203418777586417
"84",0.5741,0.497965812224022,-0.00203418777597791
"85",0.5741,0.49021207869143,-0.00978792130857004
"86",0.5741,0.494084722753102,-0.00591527724689767
"87",0.5741,0.49796536892365,-0.00203463107634966
"88",49.9467,43.5473896380066,0.0473896380066062
