,actual,prediction
6716,0.4321,0.5152561911
6717,0.5185,0.5003038753
6718,0.5062,0.4941100447
6719,0.4136,0.4959499196
6720,0.4321,0.5024120316
6721,0.4506,0.4999985266
6722,0.5926,0.4868983853
6723,0.5926,0.4883709604
6724,0.5926,0.5090517603
6725,0.4753,0.4915157938
6726,0.4506,0.4955082922
6727,0.5556,0.5075501613
6728,0.4321,0.4859170482
6729,0.4321,0.4855320277
6730,0.5432,0.48467111
6731,0.5494,0.4951872413
6732,0.5494,0.501984608
6733,0.5494,0.4875798825
6734,0.5556,0.4966877912
6735,0.3951,0.4853534193
6736,0.4753,0.4961013919
6737,0.4877,0.4847141243
6738,0.5494,0.5280858751
6739,0.5494,0.5031467841
6740,0.5494,0.534639891
6741,0.5432,0.4938830939
6742,0.6049,0.4957560734
6743,0.4753,0.4845835595
6744,0.4877,0.5204670404
6745,0.4691,0.5016927057
6746,0.5432,0.5065353538
6747,0.4691,0.4865981733
6748,0.5432,0.4928865464
6749,0.4321,0.4947930419
6750,0.4321,0.4920358976
6751,0.5802,0.4903411277
6752,0.4321,0.5004989072
6753,0.5802,0.4955679892
6754,0.4321,0.4959018462
6755,0.4753,0.4846218491
6756,0.4321,0.4954604707
6757,0.4753,0.4846153446
6758,0.4136,0.5108722515
6759,0.5802,0.5041786621
6760,0.6049,0.5018749766
6761,0.4691,0.4947829525
6762,0.5556,0.4863918396
6763,0.4383,0.4845333143
6764,0.5556,0.4860403637
6765,0.4383,0.4845236074
6766,0.5556,0.4864181559
6767,0.4383,0.4845340453
6768,0.5556,0.4873267702
6769,0.4383,0.4845092499
6770,0.5432,0.5058236468
6771,0.5802,0.5217297396
6772,0.5432,0.5110296308
6773,0.5247,0.503274303
6774,0.6049,0.4887442577
6775,0.5494,0.5104334342
6776,0.5926,0.5009275033
6777,0.5556,0.5010983429
6778,0.5556,0.4957862382
6779,0.5556,0.4915963122
6780,0.4074,0.5030469729
6781,0.4074,0.5026834874
6782,0.4074,0.5017044526
6783,0.4691,0.4850161395
6784,0.4074,0.4957068621
6785,0.4074,0.4874927608
6786,0.4074,0.4882935087
6787,0.4074,0.4873132019
6788,0.5432,0.4872409998
6789,0.5185,0.5040333783
6790,0.4506,0.4978434472
6791,0.4506,0.486148753
6792,0.5432,0.5583637786
6793,0.4877,0.5029583278
6794,0.4321,0.4905677007
6795,0.4136,0.4925444127
6796,0.5926,0.5089827103
6797,0.5926,0.4908906165
6798,0.4877,0.5313035639
6799,0.5432,0.5024338888
6800,0.4877,0.5364756428
6801,0.5432,0.5066521806
6802,0.5062,0.5202014687
6803,0.5556,0.5016058184
6804,0.5494,0.5024038265
6805,0.4506,0.488485309
6806,0.5926,0.485809917
6807,0.4506,0.485838041
6808,0.5926,0.4849190002
6809,0.5432,0.4849682506
6810,0.4321,0.4910710515
6811,0.4321,0.4866062461
6812,0.4321,0.5065976609
6813,0.4321,0.4889464593
6814,0.4506,0.4954655821
6815,0.4877,0.4849324904
6816,0.4753,0.4851657374
6817,0.5123,0.5024003346
6818,0.6049,0.5524068471
6819,0.3951,0.495419495
6820,0.4074,0.4854422491
6821,0.4383,0.4958691415
6822,0.4321,0.5038880702
6823,0.3951,0.4950067022
6824,0.4877,0.4903321574
6825,0.4691,0.4992846873
6826,0.4753,0.4865233063
6827,0.537,0.4903186309
6828,0.4753,0.4856773453
6829,0.537,0.4879878223
6830,0.5556,0.5092265929
6831,0.5556,0.498353876
6832,0.5556,0.5011784642
6833,0.5556,0.4968175898
6834,0.4753,0.503294356
6835,0.5926,0.4922296389
6836,0.4753,0.4846359993
6837,0.5926,0.508477002
6838,0.6049,0.5050836518
6839,0.5123,0.4880977346
6840,0.5123,0.4894587208
6841,0.5123,0.4870508012
6842,0.4691,0.497202057
6843,0.5247,0.4851739622
6844,0.4074,0.5294889796
6845,0.5123,0.4943913809
6846,0.4506,0.5113924672
6847,0.4753,0.5396223892
6848,0.4753,0.4874897927
6849,0.4753,0.4862794844
6850,0.5926,0.4851072661
6851,0.5432,0.486621694
6852,0.5432,0.4849667409
6853,0.5802,0.4955330382
6854,0.4321,0.4894395913
6855,0.5432,0.5347537328
6856,0.5432,0.4998243383
6857,0.4383,0.4944566872
6858,0.4506,0.4844866124
6859,0.4383,0.5018050173
6860,0.4506,0.4844912408
6861,0.4877,0.4972274751
6862,0.4877,0.4877859787
6863,0.4321,0.5063319099
6864,0.4506,0.4949773013
6865,0.5494,0.4913651723
6866,0.4506,0.5049507629
6867,0.5494,0.4961588467
6868,0.4321,0.5455016213
6869,0.5123,0.5122496958
6870,0.4383,0.4845558197
6871,0.5185,0.4845962235
6872,0.4383,0.484554741
6873,0.5185,0.4845945571
6874,0.4383,0.4845296787
6875,0.5185,0.4845558301
6876,0.4877,0.5245106261
6877,0.4877,0.5123863255
6878,0.4321,0.5073485289
6879,0.5494,0.4960452312
6880,0.5432,0.4886190822
6881,0.5432,0.5082664161
6882,0.5432,0.4876601309
6883,0.5062,0.5100196451
6884,0.4506,0.4851823218
