,actual,prediction
6714,0.5494,0.4971825906
6715,0.4753,0.4970146995
6716,0.4321,0.497018536
6717,0.5185,0.4970146995
6718,0.5062,0.4970146995
6719,0.4136,0.4970146995
6720,0.4321,0.4970146995
6721,0.4506,0.4970146995
6722,0.5926,0.4970146995
6723,0.5926,0.4970146995
6724,0.5926,0.4970146995
6725,0.4753,0.4970146995
6726,0.4506,0.4970146995
6727,0.5556,0.4970146995
6728,0.4321,0.4970146995
6729,0.4321,0.4970146995
6730,0.5432,0.4970146995
6731,0.5494,0.4970146995
6732,0.5494,0.4970146995
6733,0.5494,0.4970146995
6734,0.5556,0.4970146995
6735,0.3951,0.4970146995
6736,0.4753,0.4970146995
6737,0.4877,0.4970146995
6738,0.5494,0.4970146995
6739,0.5494,0.4970146995
6740,0.5494,0.5001700968
6741,0.5432,0.4970146995
6742,0.6049,0.4970146995
6743,0.4753,0.4970146995
6744,0.4877,0.4970235431
6745,0.4691,0.4970146995
6746,0.5432,0.4970146995
6747,0.4691,0.4970146995
6748,0.5432,0.4970148648
6749,0.4321,0.4970146995
6750,0.4321,0.4970146995
6751,0.5802,0.4970146995
6752,0.4321,0.4970146995
6753,0.5802,0.4970146995
6754,0.4321,0.4970146995
6755,0.4753,0.4970146995
6756,0.4321,0.4970146995
6757,0.4753,0.4970146995
6758,0.4136,0.4970146995
6759,0.5802,0.4970480752
6760,0.6049,0.4970146995
6761,0.4691,0.4970146995
6762,0.5556,0.4970146995
6763,0.4383,0.4970146995
6764,0.5556,0.4970146995
6765,0.4383,0.4970146995
6766,0.5556,0.4970146995
6767,0.4383,0.4970146995
6768,0.5556,0.4970146995
6769,0.4383,0.4970146995
6770,0.5432,0.4970146995
6771,0.5802,0.4970146995
6772,0.5432,0.4970146995
6773,0.5247,0.4970146995
6774,0.6049,0.4970146995
6775,0.5494,0.4970146995
6776,0.5926,0.4970146995
6777,0.5556,0.5071525722
6778,0.5556,0.5216724878
6779,0.5556,0.4970146995
6780,0.4074,0.4970146995
6781,0.4074,0.4970146995
6782,0.4074,0.4970146995
6783,0.4691,0.4970146995
6784,0.4074,0.4970146995
6785,0.4074,0.4970146995
6786,0.4074,0.4970146995
6787,0.4074,0.4970146995
6788,0.5432,0.4970146995
6789,0.5185,0.4970146995
6790,0.4506,0.4970146995
6791,0.4506,0.4970146995
6792,0.5432,0.5808395693
6793,0.4877,0.4970146995
6794,0.4321,0.4970146995
6795,0.4136,0.4970146995
6796,0.5926,0.4970146995
6797,0.5926,0.4970146995
6798,0.4877,0.4970146995
6799,0.5432,0.4970146995
6800,0.4877,0.4970146995
6801,0.5432,0.4970146995
6802,0.5062,0.4970146995
6803,0.5556,0.4970146995
6804,0.5494,0.4970146995
6805,0.4506,0.4970146995
6806,0.5926,0.4970146995
6807,0.4506,0.4970146995
6808,0.5926,0.4970146995
6809,0.5432,0.4955917989
6810,0.4321,0.4970146995
6811,0.4321,0.4970146995
6812,0.4321,0.4970147029
6813,0.4321,0.4970147013
6814,0.4506,0.4970146995
6815,0.4877,0.4970146995
6816,0.4753,0.4970146995
6817,0.5123,0.4970146995
6818,0.6049,0.4996122151
6819,0.3951,0.4970146995
6820,0.4074,0.4970146995
6821,0.4383,0.4970146995
6822,0.4321,0.4970146987
6823,0.3951,0.4970146995
6824,0.4877,0.4970146995
6825,0.4691,0.4970179814
6826,0.4753,0.4970146995
6827,0.537,0.4970146995
6828,0.4753,0.4970146995
6829,0.537,0.4970146995
6830,0.5556,0.4970146995
6831,0.5556,0.4970146995
6832,0.5556,0.4970146995
6833,0.5556,0.4970146995
6834,0.4753,0.4970146995
6835,0.5926,0.4970146995
6836,0.4753,0.4970146995
6837,0.5926,0.4970146995
6838,0.6049,0.4970152972
6839,0.5123,0.4970146995
6840,0.5123,0.4970952713
6841,0.5123,0.4970146995
6842,0.4691,0.4970146995
6843,0.5247,0.4970146995
6844,0.4074,0.4970146995
6845,0.5123,0.4970146995
6846,0.4506,0.4970146995
6847,0.4753,0.4970146995
6848,0.4753,0.5463493379
6849,0.4753,0.4970146995
6850,0.5926,0.4970146995
6851,0.5432,0.4984456598
6852,0.5432,0.4970146995
6853,0.5802,0.4970146489
6854,0.4321,0.4970146995
6855,0.5432,0.4970146995
6856,0.5432,0.4970146995
6857,0.4383,0.4970146995
6858,0.4506,0.4970146995
6859,0.4383,0.4970146995
6860,0.4506,0.4970146995
6861,0.4877,0.4970146995
6862,0.4877,0.4970146995
6863,0.4321,0.4970146995
6864,0.4506,0.4970146995
6865,0.5494,0.4970146995
6866,0.4506,0.4970146995
6867,0.5494,0.4970146995
6868,0.4321,0.4970146995
6869,0.5123,0.4980739941
6870,0.4383,0.4970146995
6871,0.5185,0.4970146995
6872,0.4383,0.4970146995
6873,0.5185,0.4970146995
6874,0.4383,0.4970146995
6875,0.5185,0.4970146995
6876,0.4877,0.4970146995
6877,0.4877,0.4909780042
6878,0.4321,0.4970146995
6879,0.5494,0.4970146995
6880,0.5432,0.4970146995
6881,0.5432,0.6131683116
6882,0.5432,0.4970146995
6883,0.5062,0.4970146995
6884,0.4506,0.4970146995
6885,0.5432,0.4970146995
6886,0.4506,0.4970146995
6887,0.5432,0.4970146995
6888,0.4506,0.4909780279
6889,0.5432,0.5400548752
6890,0.5432,0.5230967663
6891,0.4753,0.4970146995
6892,0.5432,0.4970146995
6893,0.5432,0.4841174563
6894,0.5494,0.4970146995
6895,0.4753,0.4970146995
6896,0.4506,0.4970146995
6897,0.4877,0.4970146995
6898,0.4136,0.4970146982
