,actual,prediction
6501,0.4321,0.4973119636
6502,0.5926,0.4973119636
6503,0.5185,0.4973119636
6504,0.4877,0.4973119636
6505,0.4074,0.4973119636
6506,0.4383,0.4973119636
6507,0.4383,0.4973119636
6508,0.5062,0.4973119636
6509,0.5062,0.4973119636
6510,0.5062,0.4973119636
6511,0.5185,0.497334639
6512,0.4074,0.4973119636
6513,0.4877,0.4973119636
6514,0.4506,0.4973119636
6515,0.4506,0.4973119636
6516,0.4506,0.4973119636
6517,0.5432,0.4973119636
6518,0.4753,0.4973119636
6519,0.5432,0.4973119636
6520,0.4753,0.4973119636
6521,0.5432,0.4973119636
6522,0.4753,0.5627266677
6523,0.5432,0.4973152937
6524,0.4753,0.4984458113
6525,0.5432,0.4973120704
6526,0.5926,0.4973119636
6527,0.537,0.4973119636
6528,0.537,0.4973119636
6529,0.537,0.4973119636
6530,0.537,0.4973119636
6531,0.537,0.4973119636
6532,0.5432,0.4974043168
6533,0.6049,0.4973119636
6534,0.4383,0.4973119636
6535,0.4383,0.4973119636
6536,0.3951,0.4973119636
6537,0.4506,0.4973119636
6538,0.4877,0.4973119636
6539,0.4506,0.4973119636
6540,0.4877,0.4973119636
6541,0.4506,0.4973119636
6542,0.4877,0.4973119636
6543,0.4506,0.4973119636
6544,0.4877,0.4973119636
6545,0.4506,0.4973119636
6546,0.4877,0.4973119636
6547,0.4506,0.4973119636
6548,0.4877,0.4973119636
6549,0.4506,0.4973119636
6550,0.4877,0.4973119636
6551,0.4136,0.4973119636
6552,0.4691,0.4973119636
6553,0.5556,0.4973119636
6554,0.4753,0.4973119636
6555,0.5247,0.4973119636
6556,0.4753,0.4973119636
6557,0.4753,0.4973119636
6558,0.5926,0.4973119636
6559,0.4383,0.4973119636
6560,0.5247,0.4973119636
6561,0.5062,0.4973119636
6562,0.4383,0.4973119636
6563,0.4383,0.4973119636
6564,0.4506,0.4973119636
6565,0.4506,0.4973119636
6566,0.4506,0.4973119636
6567,0.4383,0.497311964
6568,0.5926,0.4973119636
6569,0.5494,0.4974284863
6570,0.4074,0.4973119636
6571,0.4877,0.4973119636
6572,0.4074,0.4973119636
6573,0.4383,0.5075219088
6574,0.4506,0.4973119636
6575,0.5432,0.4973119636
6576,0.4691,0.4973119636
6577,0.5062,0.4973119636
6578,0.4691,0.4973119636
6579,0.5062,0.4973119636
6580,0.4691,0.4973119636
6581,0.4691,0.4973119636
6582,0.4506,0.4973119636
6583,0.4321,0.4973119636
6584,0.4383,0.4973119636
6585,0.4877,0.5282897712
6586,0.537,0.4973119755
6587,0.6049,0.4973895516
6588,0.537,0.4973119636
6589,0.6049,0.4973119636
6590,0.537,0.4973119636
6591,0.6049,0.4973119636
6592,0.4753,0.4973133879
6593,0.5123,0.4973119636
6594,0.5494,0.4973119636
6595,0.5432,0.4973119636
6596,0.4506,0.4973119636
6597,0.6049,0.509613093
6598,0.5432,0.4973119636
6599,0.4321,0.4973119636
6600,0.5802,0.4973119636
6601,0.5802,0.4973119636
6602,0.5802,0.4973119636
6603,0.5494,0.4973119636
6604,0.4383,0.4973119636
6605,0.4074,0.4973119636
6606,0.5556,0.4973121561
6607,0.5556,0.499270578
6608,0.4506,0.4973119636
6609,0.5185,0.5046655444
6610,0.5247,0.4973119636
6611,0.5926,0.4973119636
6612,0.5247,0.4973119636
6613,0.5926,0.4973119636
6614,0.5247,0.4973119636
6615,0.5926,0.4973119636
6616,0.4753,0.4973119636
6617,0.5123,0.4973119636
6618,0.5556,0.4973119636
6619,0.5556,0.4973119636
